image_name,question_text,answer,justification,confidence
IMG_8392.jpeg,"Как известно, небо кажется синим, однако на закате оно приобретает разные оттенки красного. Как это можно объяснить?","в атмосфере накапливается красный свет, отражённый от поверхности Земли за день","поскольку синий свет рассеивается сильнее, чем красный, а красный свет накапливается в атмосфере за день",0.95
IMG_8393.JPG,"Если ядро атома урана увеличить до размеров черешни, то сам атом будет как...",футбольное поле,по размерам,0.95
IMG_8394.JPG,Какую теорию доказывает эксперимент?,Специальная теория относительности,Эксперимент демонстрирует влияние специальной теории относительности на время и пространство при высоких скоростях.,0.95
IMG_8395.JPG,Какого способа получения медицинских изотопов НЕ существует?,медицинские генераторы,Вариант «медицинские генераторы» не является типом оборудования для получения медицинских изотопов.,0.95
IMG_8396.JPG,Какой из изотопов пока не стал коммерческим продуктом?,Au-199,"Вариант Au-199 не является коммерческим продуктом, в отличие от других вариантов.",0.95
IMG_8397.JPG,Как называется город?,Обнинск (Калужская область),вариант с Обнинском соответствует варианту с Калужской областью,0.95
IMG_8398.JPG,Какой страны нет в списке заказчиков?,Боливия,В списке заказчиков нет Боливии,0.95
IMG_8399.JPG,О какой технологии речь?,3D-биофабрикация,вариант 3D-биофабрикация упоминается как перспективное направление Росатома,0.95
IMG_8400.JPG,На какой АЭС расположены реакторы на быстрых нейтронах?,Белоярская АЭС (Свердловская область),вариант с реакторами на быстрых нейтронах,0.95
IMG_8401.JPG,Что из перечисленного делает Росатом для развития электротранспорта?,всё перечисленное,все варианты упомянуты в тексте как действия Росатома,1.0
IMG_8402.JPG,Какие реакторы будут работать на АЭС в Якутии?,РИТМ-200Н,"Поскольку в вопросе упоминается, что Росатом опередил глобальные корпорации в создании АЭС с ММР, а затем перечислены реакторы, можно сделать вывод, что РИТМ-200Н — это тот реактор, который будет работать на АЭС в Якутии.",0.95
IMG_8403.JPG,Кто они?,Лев Ландау и Илья Франк,вариант с Левом Ландау и Ильей Франком,0.95
IMG_8404.jpeg,"Какая страна построила первую АЭС и продемонстрировала мирный потенциал атома, создав АЭС?",СССР,вариант с СССР,0.95
IMG_8405.JPG,"О чём была статья, опубликованная 1 сентября 1939 года, в день начала Второй Мировой войны?",методы обогащения урана,статья была посвящена методам обогащения урана,0.95
IMG_8406.jpeg,Назовите их.,Игорь Курчатов и Андрей Сахаров,Игорь Курчатов и Андрей Сахаров,0.95
IMG_8407.JPG,Какое из перечисленных событий в СССР произошло раньше?,пуск первого в Евразии ядерного реактора (Ф-1),"первый в мире атомный реактор был запущен в 1954 году, а первый в Евразии - в 1946 году",0.95
IMG_8408.jpeg,Как звали физика?,Энрико Ферми,вариант А,0.95
IMG_8409.JPG,Что из перечисленного НЕ о нём?,одна из научных работ посвящена радиоактивности снега,"Вопрос не содержит информации о том, что Курчатов занимался радиоактивностью снега",0.95
IMG_8410.JPG,Технологию получения какого элемента создала не она?,калифорний (самый дорогой металл в мире),"Вопрос посвящен Зинаиде Ершовой, но в варианте ответа нет упоминания о ее достижениях.",0.95
IMG_8411.JPG,Как звали руководителя экспедиции «Северный полюс-1»?,Иван Папанин,Вариант ответа соответствует историческим фактам,0.95
IMG_8412.JPG,Как называлось судно?,«Арктика»,"вариант, соответствующий подсказке",1.0
IMG_8413.JPG,Чем закончилась его экспедиция?,судно и экипаж погибли рядом с Новой Землёй,вариант соответствует историческому событию,0.95
IMG_8414.JPG,"Чтобы вычислить высоту айсберга по его тени, полярник использует отношение противолежащего катета к гипотенузе. Это",котангенс,котангенс — это отношение длины противолежащего катета к гипотенузе прямоугольного треугольника,0.95
IMG_8415.JPG,За неделю толщина льда увеличилась с 70 см до 110 см. На сколько процентов она увеличилась?,57%,Расчет увеличения толщины льда: ((110-70)/70)*100 = 57%,1.0
IMG_8416.JPG,Что было источником альфа-частиц?,резерфордий,"резерфордий — радиоактивный элемент, который Резерфорд использовал в своих экспериментах",0.95
IMG_8417.JPG,"Продолжите числовой ряд: 1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, ..?",134,ряд представляет собой последовательность чисел Фибоначчи,0.95
IMG_8418.JPG,Найдите верное утверждение.,всё вышеперечисленное верно,"Вопрос утверждает, что через 10 периодов полураспада радиоактивность почти исчезает, а также упоминает, что самый древний уран находится в Солнце и что уран на Земле старше Земли.",0.95
IMG_8419.JPG,Кто этот писатель?,Фёдор Достоевский,поскольку Достоевский отбывал ссылку в Семипалатинске,0.95
IMG_8420.JPG,Найдите ошибочное утверждение.,тупик — это птица,"Поскольку тупик — это млекопитающее, а не птица.",0.95
IMG_8421.JPG,Что из перечисленного не влияет на климат в этом районе?,полюс находится на высоте 2835 метров,"Высота не влияет на климат, поскольку климат определяется воздействием океана и отражением солнечных лучей.",0.95
IMG_8422.JPG,Сколько лет исполнилось СМП?,300 лет,"Вопрос гласит, что в 2025 году отмечался юбилей первого упоминания идеи торговли с Китаем по Северному океану, что соответствует варианту 300 лет.",0.95
IMG_8423.JPG,Что из перечисленного лучше НЕ делать?,разряжать гаджет «в ноль»,Разряжение в ноль может привести к преждевременному износу батареи.,0.95
IMG_8424.JPG,"Специально для реакторов IV поколения в России разработано смешанное нитридное уран-плутониевое (СНУП) топливо. Из названия ясно, что в нём уран и плутоний. Что означает «нитридное»?",соединение на основе азота,по смыслу названия,0.95
IMG_8425.JPG,"Как называется операция, обратная нахождению скорости (дифференцированию), чтобы найти пройденное расстояние?",интегрирование,Интегрирование — это обратная операция к дифференцированию.,0.95
IMG_8426.JPG,Как называется ледокол?,«Таймыр»,"вариант, соответствующий граффити на корпусе",0.95
IMG_8427.JPG,Откуда шли суда?,Голландия,"в тексте упоминается, что это были голландские корабли",0.95
IMG_8428.JPG,Где находится это сооружение?,Брюссель (Бельгия),по тексту,0.95
IMG_8429.JPG,Какой вариант верно описывает цепочку превращения энергии на АЭС?,ядерная - механическая - тепловая - электрическая,"Правильный ответ соответствует описанию процесса на АЭС: ядерная энергия преобразуется в механическую энергию вращения турбины, затем в тепловую энергию пара, а затем в электрическую энергию.",0.95
IMG_8430.JPG,Какой товар составляет более половины грузопотока?,нефть,"вариант, соответствующий наиболее вероятному ответу",0.95
IMG_8431.jpeg,В какой стране уже ведутся работы?,Вьетнам,вариант В,0.95
IMG_8432.JPG,Как он называется?,Провидения,"Поскольку в вопросе указано, что порт находится на границе Тихого и Северного Ледовитого океанов",0.95
IMG_8433.JPG,Что служит топливом в таких установках?,водород,вариант B,0.95
IMG_8434.JPG,Какой транспорт использовался?,"никакой, шли пешком",вариант с воздушным шаром и лыжами не упоминается в тексте,1.0
